product_id,author,text,rating,sentiment,marketplace,created_at
1,Fiona69,It did what it promised but I expected more.,3,neutral,Taobao,2026-02-12
1,Uma98,Complete waste of money. No visible effect whatsoever.,1,negative,Taobao,2026-04-06
1,Yuki17,"Happy with the results, though it took a few weeks to notice the difference.",4,positive,Taobao,2026-01-13
1,Marcus44,It's okay. Not as impressive as I hoped but does the job.,3,neutral,Taobao,2026-02-05
1,Sam50,Did not work as advertised for my skin type.,2,negative,Taobao,2026-04-02
1,Uma68,"Happy with the results, though it took a few weeks to notice the difference.",4,positive,Taobao,2026-02-11
1,Xiao81,I've been using it for 3 weeks and the results are amazing.,5,positive,Taobao,2026-02-11
2,Priya80,This is a game-changer. Will definitely repurchase.,5,positive,Temu,2026-02-11
2,Tina64,"Happy with the results, though it took a few weeks to notice the difference.",4,positive,Temu,2026-03-19
3,Wendy81,Five stars without hesitation. My go-to now.,5,positive,Temu,2026-03-12
3,Julia37,Absolutely love this product! My skin has never felt better.,5,positive,Temu,2026-03-24
3,Ben50,It's okay. Not as impressive as I hoped but does the job.,3,neutral,Temu,2026-01-15
3,Quinn77,"Happy with the results, though it took a few weeks to notice the difference.",4,positive,Temu,2026-01-16
4,Ben21,Five stars without hesitation. My go-to now.,5,positive,Temu,2026-03-04
4,Ben10,Neutral experience. Might try a different brand next time.,3,neutral,Temu,2026-01-25
4,Ivan30,Nice texture and smell. Skin feels hydrated all day.,4,positive,Temu,2026-03-20
4,Rosa11,It's okay. Not as impressive as I hoped but does the job.,3,neutral,Temu,2026-01-18
5,Quinn49,Packaging broke on arrival. Product itself is average.,2,negative,JD,2026-02-19
5,Julia80,"Happy with the results, though it took a few weeks to notice the difference.",4,positive,JD,2026-02-02
5,Marcus96,"Happy with the results, though it took a few weeks to notice the difference.",4,positive,JD,2026-03-28
5,Marcus80,Really good product overall. Minor packaging issues but the formula is great.,4,positive,JD,2026-02-16
5,Nina84,I've been using it for 3 weeks and the results are amazing.,5,positive,JD,2026-04-02
5,Oscar66,"Happy with the results, though it took a few weeks to notice the difference.",4,positive,JD,2026-03-15
5,Zoe31,Really good product overall. Minor packaging issues but the formula is great.,4,positive,JD,2026-02-14
5,Uma89,Works as described. Would buy again.,4,positive,JD,2026-01-20
6,Rosa87,Average product. Works fine but nothing special.,3,neutral,Shopee,2026-03-12
6,Nina72,Absolutely love this product! My skin has never felt better.,5,positive,Shopee,2026-02-27
6,Victor61,"Happy with the results, though it took a few weeks to notice the difference.",4,positive,Shopee,2026-03-09
6,Tina78,Disappointed with this. Caused slight irritation after a week of use.,2,negative,Shopee,2026-02-28
6,Victor13,Really good product overall. Minor packaging issues but the formula is great.,4,positive,Shopee,2026-04-01
6,Oscar33,Really good product overall. Minor packaging issues but the formula is great.,4,positive,Shopee,2026-02-11
6,George68,Works as described. Would buy again.,4,positive,Shopee,2026-02-21
7,Hannah21,Works as described. Would buy again.,4,positive,Temu,2026-03-07
7,Oscar82,I've been using it for 3 weeks and the results are amazing.,5,positive,Temu,2026-04-04
7,Alice73,Works as described. Would buy again.,4,positive,Temu,2026-02-01
7,Lena43,Works as described. Would buy again.,4,positive,Temu,2026-02-13
7,Wendy45,Would not recommend to someone with sensitive skin.,2,negative,Temu,2026-01-10
8,Clara61,Exceeded my expectations — the quality is outstanding.,5,positive,Shopee,2026-01-18
8,Victor16,"Happy with the results, though it took a few weeks to notice the difference.",4,positive,Shopee,2026-01-28
8,Julia20,Average product. Works fine but nothing special.,3,neutral,Shopee,2026-01-24
8,Nina87,Good value for money. Delivery was fast too.,4,positive,Shopee,2026-03-29
8,Quinn58,Exceeded my expectations — the quality is outstanding.,5,positive,Shopee,2026-03-06
8,Sam64,Best purchase I've made this year. Highly recommend!,5,positive,Shopee,2026-03-22
9,Oscar62,Disappointed with this. Caused slight irritation after a week of use.,2,negative,Shopee,2026-02-02
